href,title,_text
/download/8681AB05-A83D-4168-B765-3E64DB9AA60C,29.09.2022 11:02:55 разместил пользователь Корниенко Алина Владимировна (Аппарат Комитета Государственной Думы по бюджету и налогам),"ПРАВИЛА РАСПРЕДЕЛЕНИЯ И ПРЕДОСТАВЛЕНИЯ ИЗ ФЕДЕРАЛЬНОГО БЮДЖЕТА СУБСИДИЙ БЮДЖЕТАМ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ НА ПОДДЕРЖКУ ЭКОНОМИЧЕСКОГО И СОЦИАЛЬНОГО РАЗВИТИЯ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ СЕВЕРА, СИБИРИ И ДАЛЬНЕГО ВОСТОКА РОССИЙСКОЙ ФЕДЕРАЦИИ В РАМКАХ РЕАЛИЗАЦИИ ГОСУДАРСТВЕННОЙ ПРОГРАММЫ РОССИЙСКОЙ ФЕДЕРАЦИИ ""РЕАЛИЗАЦИЯ ГОСУДАРСТВЕННОЙ НАЦИОНАЛЬНОЙ ПОЛИТИКИ"" (Комитет Государственной Думы по бюджету и налогам)"
/download/E00F5FE9-786D-4426-812B-2938578AFAF5,29.09.2022 11:33:45 разместил пользователь Корниенко Алина Владимировна (Аппарат Комитета Государственной Думы по бюджету и налогам),Субсидии на софинансирование создания и (или) модернизации инфраструктуры в сфере культуры региональной (муниципальной) собственности (Правила ) (Комитет Государственной Думы по бюджету и налогам)
/download/D7084ED8-BEE7-4BB0-A243-984E466A1CC0,29.09.2022 13:20:37 разместил пользователь Кочнов Дмитрий Александрович (Аппарат Комитета Государственной Думы по бюджету и налогам),Субсидии на Приведение в нормативное состояние автомобильных дорог и искусственных дорожных сооружений(расчет)
/download/523BE766-C3D2-4B49-BB64-ABCB6C1C5B5E,29.09.2022 11:27:57 разместил пользователь Кочнов Дмитрий Александрович (Аппарат Комитета Государственной Думы по бюджету и налогам),Субвенции бюджетам Республики Крым и города федерального значения Севастополя на осуществление части полномочий Российской Федерации в области водных отношений (методика)
/download/3CED5093-F592-4B88-A3A9-1568CFF78543,29.09.2022 13:20:51 разместил пользователь Корниенко Алина Владимировна (Аппарат Комитета Государственной Думы по бюджету и налогам),"Создание дополнительных мест для детей в возрасте от 1,5 до 3 лет в образовательных организациях, осуществляющих образовательную деятельность по образовательным программам дошкольного образования (Правила) (Комитет Государственной Думы по бюджету и налогам)"
/download/8EA23228-D822-4087-9B40-40050775A029,29.09.2022 11:01:15 разместил пользователь Корниенко Алина Владимировна (Аппарат Комитета Государственной Думы по бюджету и налогам),"Расчет распределения на 2023 год Субсидии на поддержку экономического и социального развития коренных малочисленных народов Севера, Сибири и Дальнего Востока(Комитет Государственной Думы по бюджету и налогам)"
/download/9684EC09-DEC7-4D0F-ABE1-FEE8F6AC0B97,29.09.2022 15:20:49 разместил пользователь Кочнов Дмитрий Александрович (Аппарат Комитета Государственной Думы по бюджету и налогам),Субсидии на развитие виноградарства и виноделия (методика)
/download/D4384453-DDA2-4E87-AC02-C20DA70A8D24,29.09.2022 15:20:36 разместил пользователь Кочнов Дмитрий Александрович (Аппарат Комитета Государственной Думы по бюджету и налогам),Субсидии на развитие виноградарства и виноделия (расчет)
/download/C3BF6A7D-20DF-48E5-A80B-4A4A86E6E634,29.09.2022 13:10:10 разместил пользователь Корниенко Алина Владимировна (Аппарат Комитета Государственной Думы по бюджету и налогам),"Расчет Реализация мероприятий по социально-экономическому развитию субъектов Российской Федерации, входящих в состав Северо-Кавказского федерального округа 4 (Комитет Государственной Думы по бюджету и налогам)"
/download/4F6BBC1C-4124-43EB-A2A2-31CD85224B5D,29.09.2022 11:31:47 разместил пользователь Кочнов Дмитрий Александрович (Аппарат Комитета Государственной Думы по бюджету и налогам),"Субвенции бюджетам Республики Крым и города федерального значения Севастополя на осуществление части переданных полномочий Российской Федерации в сфере государственного контроля (надзора) в области промышленной безопасности, электроэнергетики и безопасности гидротехнических сооружений (методика и правила Севастополь)"
/download/1BDA7A72-6706-47B2-8136-41A52C1439BC,29.09.2022 15:24:56 разместил пользователь Кочнов Дмитрий Александрович (Аппарат Комитета Государственной Думы по бюджету и налогам),"Субсидии на Финансовое обеспечение программ, направленных на обеспечение безопасных и комфортных условий предоставления социальных услуг в сфере социального обслуживания (расчет)"
/download/ED8F820D-5E4A-498B-BBB1-18769CD1DEF1,29.09.2022 11:31:36 разместил пользователь Кочнов Дмитрий Александрович (Аппарат Комитета Государственной Думы по бюджету и налогам),"Субвенции бюджетам Республики Крым и города федерального значения Севастополя на осуществление части переданных полномочий Российской Федерации в сфере государственного контроля (надзора) в области промышленной безопасности, электроэнергетики и безопасности гидротехнических сооружений (методика и правила Крым)"
/download/01B13F9F-CB2D-4862-ABB2-E3110D389DCE,29.09.2022 11:48:44 разместил пользователь Перегудов Никита Сергеевич (Аппарат Комитета Государственной Думы по бюджету и налогам),Проект Постановления Правительства Российской Федерации О внесении изменений в Правила предоставления и распределения иных межбюджетных трансфертов из федерального бюджета бюджетам субъектов Российской Федерации на достижение результатов национального проекта «Производительность труда»
/download/E123463D-CAE9-4A91-81C6-91741B3D3FE0,29.09.2022 11:54:30 разместил пользователь Кочнов Дмитрий Александрович (Аппарат Комитета Государственной Думы по бюджету и налогам),"Субсидии на софинансирование закупки оборудования для создания ""умных"" спортивных площадок (правила)"
/download/BAFC8383-5F50-494D-85B0-37DE34A1B84B,29.09.2022 11:39:51 разместил пользователь Кочнов Дмитрий Александрович (Аппарат Комитета Государственной Думы по бюджету и налогам),"Субсидии на Обеспечение поддержки реализации общественных инициатив, направленных на развитие туристической инфраструктуры (расчет)"
/download/AF2985B2-5377-4404-A82C-361D2C8CE69A,29.09.2022 13:27:57 разместил пользователь Корниенко Алина Владимировна (Аппарат Комитета Государственной Думы по бюджету и налогам),"Обновление материально-технической базы в организациях, осуществляющих образовательную деятельность исключительно по адаптированным основным общеобразовательным программам (Расчет) (Комитет Государственной Думы по бюджету и налогам)"
/download/2B4C5E3F-8665-49B1-ABEF-0D2460138F55,29.09.2022 13:21:35 разместил пользователь Перегудов Никита Сергеевич (Аппарат Комитета Государственной Думы по бюджету и налогам),"Расчет иных межбюджетных трансфертов на финансовое обеспечение уплаты страховых взносов на обязательное медицинское страхование неработающего населения за граждан Российской Федерации, постоянно проживающих на территориях Республики Абхазия и Республики Южная Осетия"
/download/C1E6C1D9-E663-43CD-AF7C-93F41D461500,29.09.2022 11:55:29 разместил пользователь Кочнов Дмитрий Александрович (Аппарат Комитета Государственной Думы по бюджету и налогам),"Субсидии в целях софинансирования расходных обязательств субъектов Российской Федерации, возникающих при реализации государственных программ (региональных проектов) субъектов Российской Федерации, связанных с реализацией мероприятий по созданию дополнительных мест для детей в возрасте от 3 до 7 лет в образовательных организациях, осуществляющих образовательную деятельность по образовательным программам дошкольного образования (расчет)"
/download/E586392B-A0FD-4FC8-BD8A-C6FC7B0662A6,29.09.2022 10:33:26 разместил пользователь Корниенко Алина Владимировна (Аппарат Комитета Государственной Думы по бюджету и налогам),Расчет распределения на 2023 и 2024 годы Субсидии на подготовку и проведение празднования на федеральном уровне памятных дат субъектов Российской Федерации(Комитет Государственной Думы по бюджету и налогам)
/download/79AAC69B-6288-4A5B-8839-51BFA8458DFE,29.09.2022 13:51:00 разместил пользователь Перегудов Никита Сергеевич (Аппарат Комитета Государственной Думы по бюджету и налогам),"Расчет иных межбюджетных трансфертов на финансовое обеспечение расходов на организационные мероприятия, связанные с обеспечением лиц лекарственными препаратами, предназначенными для лечения больных гемофилией, муковисцидозом, гипофизарным нанизмом, болезнью Гоше, злокачественными новообразованиями лимфоидной, кроветворной и родственных им тканей, рассеянным склерозом, гемолитико-уремическим синдромом, юношеским артритом с системным началом, мукополисахаридозом I, II и VI типов, апластической анемией неуточненной, наследственным дефицитом факторов II (фибриногена), VII (лабильного), X (Стюарта-Прауэра), а также после трансплантации органов и (или) тканей"
